"Points:0","Points:1","Points:2","alpha.water"
2,0.30457,0.005,0.25
2,0.30444,0.005,0.25
2,0.30423,0.005,0.25
2,0.30404,0.005,0.25
2,0.30385,0.005,0.25
2,0.30363,0.005,0.25
2,0.30339,0.005,0.25
2,0.30311,0.005,0.25
2,0.30282,0.005,0.25
2,0.3026,0.005,0.25
2,0.30234,0.005,0.25
2,0.30195,0.005,0.25
2,0.30135,0.005,0.25
2,0.30095,0.005,0.25
2,0.30054,0.005,0.25
2,0.30013,0.005,0.25
2,0.29983,0.005,0.25
2,0.29951,0.005,0.25
2,0.29901,0.005,0.25
2,0.29843,0.005,0.25
2,0.29802,0.005,0.25
2,0.29763,0.005,0.25
2,0.29728,0.005,0.25
2,0.29705,0.005,0.25
2,0.29679,0.005,0.25
2,0.29646,0.005,0.25
2,0.29604,0.005,0.25
2,0.2957,0.005,0.25
2,0.29548,0.005,0.25
2,0.29529,0.005,0.25
2,0.29514,0.005,0.25
2,0.29502,0.005,0.25
2,0.29494,0.005,0.25
2,0.2949,0.005,0.25
2,0.29489,0.005,0.25
2,0.29492,0.005,0.25
2,0.295,0.005,0.25
2,0.29511,0.005,0.25
2,0.29527,0.005,0.25
2,0.29546,0.005,0.25
2,0.2957,0.005,0.25
2,0.29605,0.005,0.25
2,0.2965,0.005,0.25
2,0.29684,0.005,0.25
2,0.29711,0.005,0.25
2,0.29743,0.005,0.25
2,0.29786,0.005,0.25
2,0.29832,0.005,0.25
2,0.29894,0.005,0.25
2,0.29954,0.005,0.25
2,0.29993,0.005,0.25
2,0.30038,0.005,0.25
2,0.30092,0.005,0.25
2,0.30154,0.005,0.25
2,0.30226,0.005,0.25
2,0.30267,0.005,0.25
2,0.30312,0.005,0.25
2,0.30363,0.005,0.25
2,0.30412,0.005,0.25
2,0.30481,0.005,0.25
2,0.30522,0.005,0.25
2,0.3055,0.005,0.25
2,0.30581,0.005,0.25
2,0.30612,0.005,0.25
2,0.30638,0.005,0.25
2,0.30659,0.005,0.25
2,0.30674,0.005,0.25
2,0.30684,0.005,0.25
2,0.30689,0.005,0.25
2,0.30687,0.005,0.25
2,0.3068,0.005,0.25
2,0.30666,0.005,0.25
2,0.30647,0.005,0.25
2,0.30621,0.005,0.25
2,0.3059,0.005,0.25
2,0.30556,0.005,0.25
2,0.30528,0.005,0.25
2,0.30488,0.005,0.25
2,0.30416,0.005,0.25
2,0.30362,0.005,0.25
2,0.30307,0.005,0.25
2,0.30262,0.005,0.25
2,0.30213,0.005,0.25
2,0.30128,0.005,0.25
2,0.30066,0.005,0.25
2,0.30009,0.005,0.25
2,0.29964,0.005,0.25
2,0.29896,0.005,0.25
2,0.29822,0.005,0.25
2,0.29764,0.005,0.25
2,0.29717,0.005,0.25
2,0.29678,0.005,0.25
2,0.29617,0.005,0.25
2,0.29557,0.005,0.25
2,0.29513,0.005,0.25
2,0.29473,0.005,0.25
2,0.29444,0.005,0.25
2,0.29424,0.005,0.25
2,0.29403,0.005,0.25
2,0.29382,0.005,0.25
2,0.29363,0.005,0.25
2,0.29347,0.005,0.25
2,0.29337,0.005,0.25
2,0.29336,0.005,0.25
2,0.29342,0.005,0.25
2,0.29357,0.005,0.25
2,0.29376,0.005,0.25
2,0.29398,0.005,0.25
2,0.29419,0.005,0.25
2,0.29439,0.005,0.25
2,0.29468,0.005,0.25
2,0.29507,0.005,0.25
2,0.29551,0.005,0.25
2,0.29609,0.005,0.25
2,0.29674,0.005,0.25
2,0.29717,0.005,0.25
2,0.29768,0.005,0.25
2,0.29828,0.005,0.25
2,0.29911,0.005,0.25
2,0.29975,0.005,0.25
2,0.3003,0.005,0.25
2,0.30095,0.005,0.25
2,0.30178,0.005,0.25
2,0.30248,0.005,0.25
2,0.30301,0.005,0.25
2,0.30364,0.005,0.25
2,0.30437,0.005,0.25
2,0.30509,0.005,0.25
2,0.30552,0.005,0.25
2,0.30598,0.005,0.25
2,0.30645,0.005,0.25
2,0.30686,0.005,0.25
2,0.3074,0.005,0.25
2,0.30773,0.005,0.25
2,0.30793,0.005,0.25
2,0.30804,0.005,0.25
2,0.3081,0.005,0.25
2,0.30811,0.005,0.25
2,0.30807,0.005,0.25
2,0.30798,0.005,0.25
2,0.30782,0.005,0.25
2,0.30754,0.005,0.25
2,0.30705,0.005,0.25
