"Points:0","Points:1","Points:2","alpha.water"
2.151,0.30531,0.005,0.25
2.151,0.30529,0.005,0.25
2.151,0.30524,0.005,0.25
2.151,0.30516,0.005,0.25
2.151,0.30504,0.005,0.25
2.151,0.30493,0.005,0.25
2.151,0.30483,0.005,0.25
2.151,0.30468,0.005,0.25
2.151,0.30446,0.005,0.25
2.151,0.30411,0.005,0.25
2.151,0.30377,0.005,0.25
2.151,0.30348,0.005,0.25
2.151,0.30316,0.005,0.25
2.151,0.3029,0.005,0.25
2.151,0.30265,0.005,0.25
2.151,0.30224,0.005,0.25
2.151,0.30175,0.005,0.25
2.151,0.30138,0.005,0.25
2.151,0.30101,0.005,0.25
2.151,0.30075,0.005,0.25
2.151,0.30038,0.005,0.25
2.151,0.29984,0.005,0.25
2.151,0.29947,0.005,0.25
2.151,0.29911,0.005,0.25
2.151,0.29885,0.005,0.25
2.151,0.2986,0.005,0.25
2.151,0.29822,0.005,0.25
2.151,0.29782,0.005,0.25
2.151,0.29755,0.005,0.25
2.151,0.2973,0.005,0.25
2.151,0.29708,0.005,0.25
2.151,0.29693,0.005,0.25
2.151,0.29683,0.005,0.25
2.151,0.29674,0.005,0.25
2.151,0.29666,0.005,0.25
2.151,0.2966,0.005,0.25
2.151,0.29658,0.005,0.25
2.151,0.29659,0.005,0.25
2.151,0.29663,0.005,0.25
2.151,0.29671,0.005,0.25
2.151,0.2968,0.005,0.25
2.151,0.2969,0.005,0.25
2.151,0.29705,0.005,0.25
2.151,0.29729,0.005,0.25
2.151,0.29757,0.005,0.25
2.151,0.29788,0.005,0.25
2.151,0.29837,0.005,0.25
2.151,0.29874,0.005,0.25
2.151,0.29902,0.005,0.25
2.151,0.29944,0.005,0.25
2.151,0.29989,0.005,0.25
2.151,0.30054,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30137,0.005,0.25
2.151,0.30188,0.005,0.25
2.151,0.30258,0.005,0.25
2.151,0.30301,0.005,0.25
2.151,0.30351,0.005,0.25
2.151,0.30408,0.005,0.25
2.151,0.30469,0.005,0.25
2.151,0.30505,0.005,0.25
2.151,0.30549,0.005,0.25
2.151,0.30593,0.005,0.25
2.151,0.30653,0.005,0.25
2.151,0.30684,0.005,0.25
2.151,0.30711,0.005,0.25
2.151,0.30739,0.005,0.25
2.151,0.30762,0.005,0.25
2.151,0.3078,0.005,0.25
2.151,0.30792,0.005,0.25
2.151,0.30803,0.005,0.25
2.151,0.30807,0.005,0.25
2.151,0.30801,0.005,0.25
2.151,0.30789,0.005,0.25
2.151,0.30774,0.005,0.25
2.151,0.30753,0.005,0.25
2.151,0.30728,0.005,0.25
2.151,0.307,0.005,0.25
2.151,0.30677,0.005,0.25
2.151,0.30642,0.005,0.25
2.151,0.30583,0.005,0.25
2.151,0.30537,0.005,0.25
2.151,0.30493,0.005,0.25
2.151,0.30452,0.005,0.25
2.151,0.30379,0.005,0.25
2.151,0.30321,0.005,0.25
2.151,0.30275,0.005,0.25
2.151,0.30205,0.005,0.25
2.151,0.3014,0.005,0.25
2.151,0.30088,0.005,0.25
2.151,0.30035,0.005,0.25
2.151,0.29962,0.005,0.25
2.151,0.29908,0.005,0.25
2.151,0.29869,0.005,0.25
2.151,0.29807,0.005,0.25
2.151,0.29754,0.005,0.25
2.151,0.29711,0.005,0.25
2.151,0.29681,0.005,0.25
2.151,0.29649,0.005,0.25
2.151,0.29601,0.005,0.25
2.151,0.2957,0.005,0.25
2.151,0.29545,0.005,0.25
2.151,0.29525,0.005,0.25
2.151,0.2951,0.005,0.25
2.151,0.295,0.005,0.25
2.151,0.29496,0.005,0.25
2.151,0.29495,0.005,0.25
2.151,0.29498,0.005,0.25
2.151,0.29509,0.005,0.25
2.151,0.29525,0.005,0.25
2.151,0.29546,0.005,0.25
2.151,0.29572,0.005,0.25
2.151,0.29607,0.005,0.25
2.151,0.29655,0.005,0.25
2.151,0.29686,0.005,0.25
2.151,0.29723,0.005,0.25
2.151,0.29769,0.005,0.25
2.151,0.29834,0.005,0.25
2.151,0.29885,0.005,0.25
2.151,0.29935,0.005,0.25
2.151,0.29996,0.005,0.25
2.151,0.30074,0.005,0.25
2.151,0.30132,0.005,0.25
2.151,0.30195,0.005,0.25
2.151,0.30274,0.005,0.25
2.151,0.3033,0.005,0.25
2.151,0.30394,0.005,0.25
2.151,0.30472,0.005,0.25
2.151,0.30524,0.005,0.25
2.151,0.30584,0.005,0.25
2.151,0.3066,0.005,0.25
2.151,0.30702,0.005,0.25
2.151,0.30748,0.005,0.25
2.151,0.30791,0.005,0.25
2.151,0.30846,0.005,0.25
2.151,0.30875,0.005,0.25
2.151,0.30893,0.005,0.25
2.151,0.3091,0.005,0.25
2.151,0.30926,0.005,0.25
2.151,0.30935,0.005,0.25
2.151,0.30938,0.005,0.25
2.151,0.30934,0.005,0.25
2.151,0.30921,0.005,0.25
2.151,0.309,0.005,0.25
2.151,0.30882,0.005,0.25
2.151,0.30852,0.005,0.25
2.151,0.30793,0.005,0.25
2.151,0.30746,0.005,0.25
2.151,0.30698,0.005,0.25
2.151,0.30656,0.005,0.25
2.151,0.30581,0.005,0.25
2.151,0.3052,0.005,0.25
2.151,0.30472,0.005,0.25
2.151,0.30392,0.005,0.25
2.151,0.30325,0.005,0.25
2.151,0.30272,0.005,0.25
2.151,0.30188,0.005,0.25
2.151,0.3012,0.005,0.25
2.151,0.30067,0.005,0.25
2.151,0.29985,0.005,0.25
2.151,0.29921,0.005,0.25
2.151,0.29872,0.005,0.25
2.151,0.29798,0.005,0.25
2.151,0.29741,0.005,0.25
2.151,0.29694,0.005,0.25
2.151,0.29656,0.005,0.25
2.151,0.29593,0.005,0.25
2.151,0.29552,0.005,0.25
2.151,0.29516,0.005,0.25
2.151,0.29491,0.005,0.25
2.151,0.29473,0.005,0.25
2.151,0.29454,0.005,0.25
2.151,0.29435,0.005,0.25
2.151,0.2942,0.005,0.25
2.151,0.29411,0.005,0.25
2.151,0.2941,0.005,0.25
2.151,0.29419,0.005,0.25
2.151,0.29435,0.005,0.25
2.151,0.29455,0.005,0.25
2.151,0.29474,0.005,0.25
2.151,0.29493,0.005,0.25
2.151,0.29523,0.005,0.25
2.151,0.29561,0.005,0.25
2.151,0.29611,0.005,0.25
2.151,0.29668,0.005,0.25
2.151,0.29706,0.005,0.25
2.151,0.2976,0.005,0.25
2.151,0.29833,0.005,0.25
2.151,0.29888,0.005,0.25
2.151,0.29945,0.005,0.25
2.151,0.30023,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30163,0.005,0.25
2.151,0.30253,0.005,0.25
2.151,0.30312,0.005,0.25
2.151,0.30379,0.005,0.25
2.151,0.30463,0.005,0.25
2.151,0.30518,0.005,0.25
2.151,0.30584,0.005,0.25
2.151,0.30666,0.005,0.25
2.151,0.30711,0.005,0.25
2.151,0.3076,0.005,0.25
2.151,0.30811,0.005,0.25
2.151,0.30862,0.005,0.25
2.151,0.30891,0.005,0.25
2.151,0.30919,0.005,0.25
2.151,0.30946,0.005,0.25
2.151,0.30964,0.005,0.25
2.151,0.30973,0.005,0.25
2.151,0.30975,0.005,0.25
2.151,0.30972,0.005,0.25
2.151,0.30964,0.005,0.25
2.151,0.30949,0.005,0.25
2.151,0.30927,0.005,0.25
2.151,0.30898,0.005,0.25
2.151,0.30872,0.005,0.25
2.151,0.30824,0.005,0.25
2.151,0.30761,0.005,0.25
2.151,0.30708,0.005,0.25
2.151,0.30663,0.005,0.25
2.151,0.30584,0.005,0.25
2.151,0.30521,0.005,0.25
2.151,0.30471,0.005,0.25
2.151,0.30391,0.005,0.25
2.151,0.30325,0.005,0.25
2.151,0.30273,0.005,0.25
2.151,0.30192,0.005,0.25
2.151,0.30126,0.005,0.25
2.151,0.30075,0.005,0.25
2.151,0.29998,0.005,0.25
2.151,0.29935,0.005,0.25
2.151,0.29886,0.005,0.25
2.151,0.29834,0.005,0.25
2.151,0.29767,0.005,0.25
2.151,0.29717,0.005,0.25
2.151,0.29682,0.005,0.25
2.151,0.29645,0.005,0.25
2.151,0.29591,0.005,0.25
2.151,0.29558,0.005,0.25
2.151,0.2953,0.005,0.25
2.151,0.29506,0.005,0.25
2.151,0.29492,0.005,0.25
2.151,0.29483,0.005,0.25
2.151,0.29477,0.005,0.25
2.151,0.29474,0.005,0.25
2.151,0.29475,0.005,0.25
2.151,0.29479,0.005,0.25
2.151,0.29487,0.005,0.25
2.151,0.29497,0.005,0.25
2.151,0.29517,0.005,0.25
2.151,0.29543,0.005,0.25
2.151,0.29574,0.005,0.25
2.151,0.2962,0.005,0.25
2.151,0.29667,0.005,0.25
2.151,0.29702,0.005,0.25
